strategy,seed,n_train_malicious,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,benign_fpr,benign_fp_count,attack_detection_rate,attacks_missed,phantom_classes,phantom_predictions
downsample,0,3520,0.9410576853731158,0.8904471238883721,0.698445647642278,0.9665279292326803,0.6846941542154207,0.763240391904319,0.05797950832539691,5540.0,0.9072847682119205,140.0,1.0,4819.0
downsample,1,3520,0.941078290971657,0.8843991592114175,0.691600585668818,0.9664803749690513,0.6785076908754064,0.758056422181215,0.05784345532752143,5527.0,0.9112582781456954,134.0,1.0,4812.0
downsample,2,3520,0.9405425454095878,0.8903599104281953,0.6878191835590217,0.9660804597905405,0.6730687519045496,0.7631656375098818,0.058502789086456446,5590.0,0.9145695364238411,129.0,1.0,4803.0
weighted,0,164857,0.9634186697151108,0.9097397894414518,0.7885569934498361,0.9774350954928583,0.8047718671569576,0.7797769623783873,0.0570794654163745,5454.0,0.9920457440484615,562.0,1.0,4808.0
weighted,1,164857,0.9631960530669956,0.9149141703481388,0.78378566822114,0.9774778859848725,0.7953643968823283,0.7842121460126904,0.057403899488231415,5485.0,0.9930931015936819,488.0,1.0,4879.0
weighted,2,164857,0.9642670196444151,0.918166574068164,0.7866500632253963,0.9787184131789491,0.7981447362455842,0.7869999206298549,0.05535263890487802,5289.0,0.9929798737509553,496.0,1.0,4929.0
none,0,164857,0.9632441863963178,0.9098369716538713,0.7695546824978866,0.9776601412279,0.7787926909148369,0.779860261417604,0.056273613044342814,5377.0,0.9913663769921024,610.0,1.0,4870.0
none,1,164857,0.963117836406847,0.9121456602364271,0.7803558974250009,0.9776166443168807,0.7913237667056491,0.7818391373455089,0.056284078659564,5378.0,0.9923288136552778,542.0,1.0,4938.0
none,2,164857,0.9623537198038566,0.9162645338001378,0.783843700462394,0.9769229029492619,0.7935880740590857,0.7853696004001182,0.05823068309070549,5564.0,0.9930223341919778,493.0,1.0,4976.0
smote,0,164857,0.9609939532505039,0.9328705351861787,0.7431081525865589,0.97606762821207,0.7330768449066329,0.7996033158738675,0.05941329761070004,5677.0,0.9901350242024514,697.0,1.0,4857.0
smote,1,164857,0.9616497698625192,0.9359155253678999,0.7434020725995377,0.9768895197847696,0.7292244940055037,0.8022133074582,0.0586702389299955,5606.0,0.9920315905681207,563.0,1.0,4932.0
smote,2,164857,0.9608074365993803,0.9331312227000851,0.7471083560717727,0.976014435089903,0.7371537908045916,0.7998267623143587,0.05967493799122982,5702.0,0.9910408469442636,633.0,1.0,4952.0
