beta,seed,tau_b,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,benign_fpr,benign_fp_count,attack_detection_rate,attacks_missed,phantom_classes,phantom_predictions
1,0,-0.0001524366310154557,0.9410576853731158,0.8904471238883721,0.698445647642278,0.9665279292326803,0.6846941542154207,0.763240391904319,0.05797950832539691,5540.0,0.9072847682119205,140.0,1.0,4819.0
1,1,-0.0002899447067010345,0.967669815888977,0.888901118025733,0.6936058182255354,0.9802986318609881,0.6784874555336973,0.7619152440220569,0.030831702441628032,2946.0,0.9,151.0,1.0,2214.0
1,2,-0.00025827382443750416,0.9637753577647047,0.8942932374821595,0.6895715511873997,0.978156199323555,0.673042857086255,0.7665370606989939,0.034902826762671244,3335.0,0.9013245033112582,149.0,1.0,2528.0
2,0,-0.0001524366310154557,0.9410576853731158,0.8904471238883721,0.698445647642278,0.9665279292326803,0.6846941542154207,0.763240391904319,0.05797950832539691,5540.0,0.9072847682119205,140.0,1.0,4819.0
2,1,-0.0004008432848120266,0.941078290971657,0.8843991592114175,0.691600585668818,0.9664803749690513,0.6785076908754064,0.758056422181215,0.05784345532752143,5527.0,0.9112582781456954,134.0,1.0,4812.0
2,2,-0.0004422950837265596,0.9405425454095878,0.8903599104281953,0.6878191835590217,0.9660804597905405,0.6730687519045496,0.7631656375098818,0.058502789086456446,5590.0,0.9145695364238411,129.0,1.0,4803.0
3,0,-0.00016526342207953695,0.9410576853731158,0.8904471238883721,0.698445647642278,0.9665279292326803,0.6846941542154207,0.763240391904319,0.05797950832539691,5540.0,0.9072847682119205,140.0,1.0,4819.0
3,1,-0.0004008432848120266,0.941078290971657,0.8843991592114175,0.691600585668818,0.9664803749690513,0.6785076908754064,0.758056422181215,0.05784345532752143,5527.0,0.9112582781456954,134.0,1.0,4812.0
3,2,-0.00045790642545759825,0.9405425454095878,0.8903599104281953,0.6878191835590217,0.9660804597905405,0.6730687519045496,0.7631656375098818,0.058502789086456446,5590.0,0.9145695364238411,129.0,1.0,4803.0
4,0,-0.00016526342207953695,0.9410576853731158,0.8904471238883721,0.698445647642278,0.9665279292326803,0.6846941542154207,0.763240391904319,0.05797950832539691,5540.0,0.9072847682119205,140.0,1.0,4819.0
