variant,seed,arm,use_pca,their_hyperparams,tau_m,tau_b,tau_u,balanced_accuracy,f1_weighted,fit_seconds
as submitted,0,balanced,False,False,1.0,-0.00016556386021242736,0.0001520856094975151,0.7985068212361796,0.9880203185228525,1.5656254999921657
as submitted,1,balanced,False,False,1.0,-0.0004012257259976949,-0.00015309529917538998,0.7740794861858845,0.9868792455281186,1.5386047999490984
as submitted,2,balanced,False,False,1.0,-0.00045790642545759825,-2.3578618161263073e-05,0.8041030201894195,0.9859745968635316,1.6259279000223614
as submitted,3,balanced,False,False,1.0,-0.0005679771648607236,-0.00017835512202527644,0.7831823015680657,0.985791675955847,1.4643871000153013
as submitted,4,balanced,False,False,0.985,-0.0003823354666692176,1.265557548544953e-07,0.8404291821736242,0.9862480826567519,1.4403534999582916
+ PCA(56),0,balanced,True,False,1.0,-0.0001655642502700172,0.00015208525044885994,0.7985068212361796,0.9880203185228525,1.5300507000065409
+ PCA(56),1,balanced,True,False,1.0,-0.00040122587885968897,-0.0001530959133388681,0.7740794861858845,0.9868792455281186,1.5594493999960832
+ PCA(56),2,balanced,True,False,1.0,-0.0004579069823139812,-2.3578660710081708e-05,0.8041030201894195,0.9859745968635316,1.5158383999951184
+ PCA(56),3,balanced,True,False,1.0,-0.0005679771448908737,-0.0001784896301051278,0.7831823015680657,0.985791675955847,1.4036880999919958
+ PCA(56),4,balanced,True,False,0.985,-0.00038233546339988924,-1.3397939310369564e-06,0.8404291821736242,0.9862480826567519,1.4608264999696985
+ their OC-SVM/RF,0,balanced,True,True,1.0,-0.00166523895538435,0.0057196760280762635,0.774719950648502,0.9821157698987367,1.8553814999759197
+ their OC-SVM/RF,1,balanced,True,True,1.0,-0.002687027428603616,0.006053360220020653,0.922680381289393,0.9858551060403753,1.775246600038372
+ their OC-SVM/RF,2,balanced,True,True,1.0,-0.0025123171575494015,0.005755299210361836,0.8514464658483757,0.9843485156319156,1.8350377999595366
+ their OC-SVM/RF,3,balanced,True,True,1.0,-0.002582344727507943,0.005610532685977769,0.777847373348902,0.9835439044806448,1.7257538000121713
+ their OC-SVM/RF,4,balanced,True,True,1.0,-0.0019136342261009448,0.006086182212415992,0.8482869589909372,0.9846899141190216,2.71776949998457
+ tau_M 0.98 (full),0,balanced,True,True,0.98,-0.00166523895538435,0.0057196760280762635,0.7942288681728235,0.9791091510577395,1.9101781999925151
+ tau_M 0.98 (full),1,balanced,True,True,0.98,-0.002687027428603616,0.006053360220020653,0.9395356300253003,0.9851362217925469,1.8733976999646984
+ tau_M 0.98 (full),2,balanced,True,True,0.98,-0.0025123171575494015,0.005755299210361836,0.8825796727302778,0.9810251561752144,1.6698932000435889
+ tau_M 0.98 (full),3,balanced,True,True,0.98,-0.002582344727507943,0.005610532685977769,0.7911506546565761,0.9818201468681933,1.7986935999942943
+ tau_M 0.98 (full),4,balanced,True,True,0.98,-0.0019136342261009448,0.006086182212415992,0.8619620873038848,0.978716875864551,1.922831000003498
