arm,seed,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,benign_fpr,benign_fp_count,attack_detection_rate,attacks_missed,phantom_classes,phantom_predictions,tau_b,tau_m,tau_u
ours-submitted,0,0.9410576853731158,0.8904471238883721,0.698445647642278,0.9665279292326803,0.6846941542154207,0.763240391904319,0.05797950832539691,5540.0,0.9072847682119205,140.0,1.0,4819.0,-0.00016752185464742738,1.0,-0.00010705924204173719
ours-submitted,1,0.941078290971657,0.8843991592114175,0.691600585668818,0.9664803749690513,0.6785076908754064,0.758056422181215,0.05784345532752143,5527.0,0.9112582781456954,134.0,1.0,4812.0,-0.0004092301615862181,1.0,-0.00036430224140483465
ours-submitted,2,0.9405425454095878,0.8903599104281953,0.6878191835590217,0.9660804597905405,0.6730687519045496,0.7631656375098818,0.058502789086456446,5590.0,0.9145695364238411,129.0,1.0,4803.0,-0.0004815438509908765,1.0,-0.0003907631335161078
ours-submitted,3,0.9399861942489774,0.8935665125541292,0.6915546460457902,0.9659167498461253,0.6787836878575321,0.765914153617825,0.05913072599972789,5650.0,0.9251655629139073,113.0,1.0,4837.0,-0.0005906584932404465,1.0,-0.0005175254873768782
ours-submitted,4,0.9385231967525577,0.9417304520501205,0.694097845734238,0.9649624920594754,0.6592223092510804,0.8071975303286747,0.06153781750060177,5880.0,0.956953642384106,65.0,1.0,4794.0,-0.0003823354666692176,0.985,-0.00030740995349172223
verkerken-balanced,0,0.9828973532108674,0.7985068212361796,0.6971363938101877,0.9880203185228525,0.7388264291303704,0.6844344182024396,0.01359483417232682,1299.0,0.7701986754966887,347.0,1.0,970.0,-0.00016556386021242736,1.0,0.0001520856094975151
verkerken-balanced,1,0.981588897703506,0.7740794861858845,0.6725767940764655,0.9868792455281186,0.7175004860390995,0.6634967024450439,0.014463480235685654,1382.0,0.747682119205298,381.0,1.0,980.0,-0.0004012257259976949,1.0,-0.00015309529917538998
verkerken-balanced,2,0.9802083226012508,0.8041030201894195,0.6643185219958025,0.9859745968635316,0.6852864939774624,0.6892311601623595,0.01644148151249071,1571.0,0.7814569536423841,330.0,1.0,974.0,-0.00045790642545759825,1.0,-2.3578618161263073e-05
verkerken-balanced,3,0.9801155974078157,0.7831823015680657,0.6593049174504205,0.985791675955847,0.7038351836952218,0.6712991156297706,0.016137978671076178,1542.0,0.752317880794702,374.0,1.0,967.0,-0.0005679771648607236,1.0,-0.00017835512202527644
verkerken-balanced,4,0.9803113505939564,0.8404291821736242,0.677846683366331,0.9862480826567519,0.6816976726154665,0.720367870434535,0.017027555964877397,1627.0,0.8165562913907285,277.0,1.0,963.0,-0.0003823354666692176,0.985,1.265557548544953e-07
rf-closed-baseline,0,0.9984339745108746,0.958474962794507,0.9577832712949149,0.9984467171196701,0.9577779578600979,0.958474962794507,0.0008058523720316899,77.0,0.952317880794702,72.0,,,,,
rf-closed-baseline,1,0.9983824605145218,0.9573659772275144,0.956417959166138,0.9983955481545995,0.956159318827586,0.9573659772275144,0.0008372492176952622,80.0,0.9509933774834437,74.0,,,,,
rf-closed-baseline,2,0.9984236717116041,0.9584732185253033,0.9575194479294956,0.9984366526044279,0.9573467950353413,0.9584732185253033,0.0008163179872528807,78.0,0.952317880794702,72.0,,,,,
rf-closed-baseline,3,0.9984133689123335,0.9590216063665872,0.9573584331251815,0.9984284992189855,0.9564999892849534,0.9590216063665872,0.0008372492176952622,80.0,0.9529801324503311,71.0,,,,,
rf-closed-baseline,4,0.9983824605145218,0.9579161093380018,0.9564124566503317,0.9983954371530346,0.9555894232062373,0.9579161093380018,0.000847714832916453,81.0,0.9516556291390729,73.0,,,,,
