metric,recorded,recomputed,abs_delta,match
accuracy,0.9410576853731158,0.9410576853731158,0.0,True
balanced_accuracy,0.8904471238883721,0.8904471238883721,0.0,True
f1_macro,0.698445647642278,0.698445647642278,0.0,True
f1_weighted,0.9665279292326804,0.9665279292326803,1.1102230246251565e-16,True
precision_macro,0.6846941542154207,0.6846941542154207,0.0,True
recall_macro,0.763240391904319,0.763240391904319,0.0,True
benign_fpr,0.0579795083253969,0.05797950832539691,6.938893903907228e-18,True
benign_fp_count,5540.0,5540.0,0.0,True
attack_detection_rate,0.9072847682119204,0.9072847682119205,1.1102230246251565e-16,True
attacks_missed,140.0,140.0,0.0,True
phantom_classes,1.0,1.0,0.0,True
phantom_predictions,4819.0,4819.0,0.0,True
tau_b,-0.0001675218546474,-0.00016752185464742738,2.7376104855258987e-17,True
tau_m,1.0,1.0,0.0,True
tau_u,-0.0001070592420417,-0.00010705924204173719,3.71881345162528e-17,True
