arm,seed,imbalance,tau_u_quantile,n_train_malicious,train_seconds,tau_u,tau_m,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,benign_fpr,benign_fp_count,attack_detection_rate,attacks_missed,phantom_classes,phantom_predictions
A-incumbent,0,downsample,0.95,3520,5.15,-0.0001070592420417,1.0,0.9410576853731158,0.8904471238883721,0.698445647642278,0.9665279292326804,0.6846941542154207,0.763240391904319,0.0579795083253969,5540.0,0.9072847682119204,140.0,1.0,4819.0
A-incumbent,1,downsample,0.95,3520,4.52,-0.0003643022414048,1.0,0.941078290971657,0.8843991592114175,0.691600585668818,0.9664803749690511,0.6785076908754064,0.758056422181215,0.0578434553275214,5527.0,0.9112582781456954,134.0,1.0,4812.0
A-incumbent,2,downsample,0.95,3520,4.33,-0.0003907631335161,1.0,0.9405425454095878,0.8903599104281953,0.6878191835590217,0.9660804597905404,0.6730687519045496,0.7631656375098818,0.0585027890864564,5590.0,0.9145695364238412,129.0,1.0,4803.0
A-incumbent,3,downsample,0.95,3520,4.29,-0.0005175254873768,1.0,0.9399861942489774,0.8935665125541292,0.6915546460457902,0.9659167498461252,0.6787836878575321,0.765914153617825,0.0591307259997278,5650.0,0.9251655629139072,113.0,1.0,4837.0
A-incumbent,4,downsample,0.95,3520,4.12,-0.0003074099534917,0.985,0.9385231967525576,0.9417304520501204,0.694097845734238,0.9649624920594754,0.6592223092510804,0.8071975303286747,0.0615378175006017,5880.0,0.956953642384106,65.0,1.0,4794.0
B-tau_u,0,downsample,0.995,3520,4.18,0.000247578678836,1.0,0.9853597222365316,0.897947481463559,0.701755941796842,0.9893394953337836,0.6846604701715845,0.7696692698259077,0.0129773628742765,1240.0,0.8880794701986755,169.0,1.0,490.0
B-tau_u,1,downsample,0.995,3520,4.15,-3.078540575678578e-05,1.0,0.9851330606525792,0.8918576543257194,0.6948810528736391,0.9890864005943272,0.6784508684678546,0.7644494179934738,0.0130924846417096,1251.0,0.8821192052980132,178.0,1.0,492.0
B-tau_u,2,downsample,0.995,3520,4.13,0.0001765716158473,1.0,0.9845664066926983,0.8978131727348867,0.6911003487165966,0.9886912950776284,0.6730130352379032,0.7695541480584743,0.0137832152463082,1317.0,0.8860927152317881,172.0,1.0,487.0
B-tau_u,3,downsample,0.995,3520,4.07,-5.1222140323677664e-05,1.0,0.9842882311123932,0.901066870129316,0.6948516937798334,0.9886370335465704,0.6787132377376748,0.7723430315394137,0.0141285805486075,1350.0,0.890728476821192,165.0,1.0,485.0
B-tau_u,4,downsample,0.995,3520,4.11,0.0001937987185701,0.985,0.98276341682035,0.949220344010086,0.6974239272235406,0.987882850253708,0.6591997119514479,0.8136174377229308,0.0165984657408085,1586.0,0.9450331125827814,83.0,1.0,482.0
C-smote,0,smote,0.95,788310,118.13,-0.000351310464784,1.0,0.960993953250504,0.9328705351861788,0.7431081525865589,0.97606762821207,0.7330768449066329,0.7996033158738675,0.0594132976107,5677.0,0.9901350242024514,697.0,1.0,4857.0
C-smote,1,smote,0.95,788310,118.86,-0.0001067516862022,1.0,0.9616497698625192,0.9359155253679,0.7434020725995377,0.9768895197847696,0.7292244940055037,0.8022133074582,0.0586702389299955,5606.0,0.9920315905681208,563.0,1.0,4932.0
C-smote,2,smote,0.95,788310,118.0,-0.0003164573417955,1.0,0.9608074365993804,0.9331312227000852,0.7471083560717727,0.976014435089903,0.7371537908045916,0.7998267623143587,0.0596749379912298,5702.0,0.9910408469442636,633.0,1.0,4952.0
C-smote,3,smote,0.95,788310,118.71,-0.0001401887157151,1.0,0.9613669865527512,0.9388513981016964,0.7490160588051723,0.9765822955756835,0.7372926987895833,0.804729769801454,0.0592249165367186,5659.0,0.991536218756192,598.0,1.0,4937.0
C-smote,4,smote,0.95,788310,116.96,-0.0004021987402639,1.0,0.9617941698504858,0.9330797942696126,0.7427482253815832,0.9768409394249428,0.7308337949749991,0.7997826808025251,0.0579376458645121,5536.0,0.9900359498400656,704.0,1.0,4854.0
D-combined,0,smote,0.995,788310,115.5,0.0002210907610429,1.0,0.9867152011070666,0.9403272860312772,0.7463543842183936,0.9891314033727092,0.7329830095049701,0.8059948165982375,0.0146727925401094,1402.0,0.9887762900897332,793.0,1.0,486.0
D-combined,1,smote,0.995,788310,115.38,0.0002306978721849,1.0,0.9872386510634458,0.9433339022905206,0.7465712460921264,0.989643190701604,0.7290040994622468,0.8085719162490177,0.0141599773942711,1353.0,0.9895688849888188,737.0,1.0,505.0
D-combined,2,smote,0.995,788310,231.2,3.490694016518921e-05,1.0,0.986679101110075,0.940631580275272,0.7503306862013522,0.9889820236912096,0.7369674515715353,0.8062556402359473,0.0146727925401094,1402.0,0.9888470574914372,788.0,1.0,497.0
D-combined,3,smote,0.995,788310,116.53,0.0001140659548034,1.0,0.9872386510634458,0.9463517556768832,0.7522494564606254,0.9895944231027336,0.7371291588552201,0.8111586477230428,0.0142227710855982,1359.0,0.9895830384691596,736.0,1.0,499.0
D-combined,4,smote,0.995,788310,115.21,0.000208112044762,1.0,0.9874913510423874,0.940529568037897,0.7459849790997296,0.9898665727191172,0.7307374998591417,0.8061682011753403,0.0132390032548063,1265.0,0.9886489087666656,802.0,1.0,485.0
