held_out,seed,n_holdout,zero_day_recall,called_benign,called_some_attack,top_label,top_label_share,median_certainty
Botnet,0,1437,0.0,1.0,0.0,Benign,1.0,1.0
Botnet,1,1437,0.0,1.0,0.0,Benign,1.0,1.0
Botnet,2,1437,0.0,1.0,0.0,Benign,1.0,1.0
Brute Force,0,9150,0.0,0.9998907103825136,0.0001092896174863388,Benign,0.9998907103825136,0.995
Brute Force,1,9150,0.0,0.9998907103825136,0.0001092896174863388,Benign,0.9998907103825136,0.99
Brute Force,2,9150,0.0,0.9998907103825136,0.0001092896174863388,Benign,0.9998907103825136,0.995
DoS,0,321759,0.0,0.8218791082766915,0.17812089172330844,Benign,0.8218791082766915,0.89
DoS,1,321759,0.0,0.8191845449544535,0.18081545504554652,Benign,0.8191845449544535,0.9
DoS,2,321759,0.0,0.8181589326172695,0.18184106738273056,Benign,0.8181589326172695,0.915
Heartbleed,0,11,0.0,1.0,0.0,Benign,1.0,0.885
Heartbleed,1,11,0.0,1.0,0.0,Benign,1.0,0.86
Heartbleed,2,11,0.0,1.0,0.0,Benign,1.0,0.85
Infiltration,0,36,0.0,1.0,0.0,Benign,1.0,0.9475
Infiltration,1,36,0.0,1.0,0.0,Benign,1.0,0.9724999999999999
Infiltration,2,36,0.0,1.0,0.0,Benign,1.0,0.9475
Port Scan,0,1956,0.0,0.9381390593047034,0.061860940695296525,Benign,0.9381390593047034,0.945
Port Scan,1,1956,0.0,0.9381390593047034,0.061860940695296525,Benign,0.9381390593047034,0.965
Port Scan,2,1956,0.0,0.9381390593047034,0.061860940695296525,Benign,0.9381390593047034,0.93
Web Attack,0,2143,0.0,0.997200186654223,0.0027998133457769483,Benign,0.997200186654223,0.86
Web Attack,1,2143,0.0,0.9953336444237051,0.004666355576294913,Benign,0.9953336444237051,0.815
Web Attack,2,2143,0.0,0.9948670088660756,0.005132991133924405,Benign,0.9948670088660756,0.81
