protocol,held_out,seed,n,hits,recall,ci_lo,ci_hi,benign_fpr
unseen-class,Botnet,0,101695,233,0.002291164757362702,0.002015517621238063,0.0026044116924202406,0.369525
unseen-class,Botnet,1,101695,11,0.00010816657652785289,6.040161363030254e-05,0.00019369625464440833,0.37755
unseen-class,Botnet,2,101695,137,0.0013471655440287133,0.0011397875793256347,0.0015922146228154398,0.383875
unseen-class,Brute Force,0,42312,7,0.00016543770088863678,8.014176199507675e-05,0.0003414842344548909,0.3704
unseen-class,Brute Force,1,42312,2,4.726791453961051e-05,1.2962662784162665e-05,0.00017234521602346958,0.351275
unseen-class,Brute Force,2,42312,34,0.0008035545471733787,0.0005751161190304671,0.0011226277126881114,0.353225
unseen-class,DoS,0,500101,9961,0.019917976568733117,0.019534414540386503,0.02030891391189647,0.352725
unseen-class,DoS,1,500101,6066,0.012129549830934151,0.011829892106256675,0.012436702521022042,0.352125
unseen-class,DoS,2,500101,6300,0.012597455314026567,0.012292071483625724,0.012910326921586498,0.3515
unseen-class,Infiltration,0,41234,1242,0.030120774118445943,0.028514313725372484,0.03181477651823311,0.05905
unseen-class,Infiltration,1,41234,1309,0.03174564679633312,0.030096561765682654,0.0334819711077902,0.0554
unseen-class,Infiltration,2,41234,1296,0.03143037299316098,0.029789463262856714,0.03315858074213444,0.06015
unseen-class,Web Attack,0,867,116,0.13379469434832755,0.11274205888044152,0.15807814200902226,0.69845
unseen-class,Web Attack,1,867,141,0.16262975778546712,0.1395631652230601,0.18867276787983175,0.668725
unseen-class,Web Attack,2,867,252,0.2906574394463668,0.2614091224164522,0.32175266171406025,0.688
