arm,seed,held_out,zd,keep,fp,zd_in_sample,keep_in_sample,feasible,n_feasible_trials,tuning_objective,params
submitted,0,DDoS,0.6187370131391879,0.9112582781456954,0.061694801728919633,0.3793739154903702,0.8832781456953642,True,,,{}
submitted,0,DoS Hulk,0.9287573909723106,0.8993377483443709,0.05584452282027399,0.30186882103208956,0.8862582781456954,True,,,{}
submitted,0,DoS slowloris,0.5875580315691736,0.8788079470198675,0.05772833356008833,0.38716866088287377,0.8913907284768212,True,,,{}
submitted,0,FTP-Patator,0.0011802394199966278,0.8708609271523179,0.057801592866636664,0.533763108920168,0.8933774834437085,True,,,{}
submitted,0,Web Attack - XSS,0.0,0.8841059602649006,0.056838756266287115,0.5340581687751671,0.8900662251655629,True,,,{}
thresholds,0,DDoS,0.6331651225647195,0.885430463576159,0.10209207648271604,0.38876630182612515,0.9014900662251655,True,32.0,0.29191193763245005,"{'qb': 0.90848, 'qm': 0.11715, 'qu': 0.80378}"
thresholds,0,DoS Hulk,0.9461428092058827,0.93841059602649,0.09122876788312001,0.3102422905159137,0.9346026490066225,True,34.0,0.23301892914979144,"{'qb': 0.90968, 'qm': 0.06729, 'qu': 0.91855}"
thresholds,0,DoS slowloris,0.6035283194057567,0.9258278145695364,0.09685926887212065,0.3960607996280606,0.9324503311258279,True,33.0,0.2973828109839017,"{'qb': 0.91153, 'qm': 0.07536, 'qu': 0.91281}"
thresholds,0,FTP-Patator,0.0013488450514247176,0.9251655629139073,0.09667088779813922,0.5466056682166437,0.9326158940397351,True,33.0,0.4107211223281269,"{'qb': 0.91153, 'qm': 0.07536, 'qu': 0.91281}"
thresholds,0,Web Attack - XSS,0.003067484662576687,0.9231788079470199,0.10014547205157455,0.546254112522226,0.9144039735099339,True,31.0,0.4100277956545257,"{'qb': 0.90963, 'qm': 0.09941, 'qu': 0.74658}"
override,0,DDoS,0.6262986860812099,0.8993377483443709,0.10181997048696508,0.38916742311348096,0.9056291390728477,True,35.0,0.29229708141368094,"{'qb': 0.93783, 'qm': 0.03059, 'qu': 0.5602, 'qz': 0.75716, 'qc': 0.67812}"
override,0,DoS Hulk,0.945656827464911,0.8993377483443709,0.08425866814580694,0.30907970622104075,0.9105960264900662,True,43.0,0.23214699092863675,"{'qb': 0.92149, 'qm': 0.10955, 'qu': 0.79852, 'qz': 0.98648, 'qc': 0.35823}"
override,0,DoS slowloris,0.5951717734447539,0.9052980132450331,0.08585990727464914,0.3979057789295517,0.9107615894039736,True,35.0,0.298850848275734,"{'qb': 0.92435, 'qm': 0.06767, 'qu': 0.81772, 'qz': 0.85193, 'qc': 0.35084}"
override,0,FTP-Patator,0.001686056314280897,0.8834437086092716,0.08481334575253006,0.5464328515088779,0.9008278145695364,True,38.0,0.4128921232942351,"{'qb': 0.92473, 'qm': 0.07472, 'qu': 0.67008, 'qz': 0.75127, 'qc': 0.61087}"
override,0,Web Attack - XSS,0.010736196319018405,0.909933774834437,0.09216020763780598,0.5461257983262651,0.9029801324503312,True,36.0,0.410015862823269,"{'qb': 0.91772, 'qm': 0.07995, 'qu': 0.84549, 'qz': 0.64125, 'qc': 0.87592}"
continuous,0,DDoS,0.4118299560985517,0.9039735099337748,0.04780693033039947,0.3397725873332555,0.9091059602649008,True,8.0,0.2551666517627978,"{'qb': 0.97897, 'qm': 0.05855, 'qu': 0.82227, 'qz': 0.62869, 'qc': 0.58442, 'w': 0.92575, 'taun': 0.9384}"
continuous,0,DoS Hulk,0.6807331381692373,0.9271523178807947,0.05456771776328871,0.25507430139370946,0.9102649006622516,True,8.0,0.1916850887159953,"{'qb': 0.98329, 'qm': 0.04267, 'qu': 0.82128, 'qz': 0.70619, 'qc': 0.59667, 'w': 0.93569, 'taun': 0.93598}"
continuous,0,DoS slowloris,,,,,,False,0.0,,{}
continuous,0,FTP-Patator,,,,,,False,0.0,,{}
continuous,0,Web Attack - XSS,,,,,,False,0.0,,{}
recommended-fixed,0,DDoS,0.6330245129438967,0.9112582781456954,0.0911241117309081,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,0,DoS Hulk,0.9458130358816519,0.9238410596026491,0.08929262906719972,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,0,DoS slowloris,0.6035283194057567,0.9145695364238411,0.08952287260206591,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,0,FTP-Patator,0.0013488450514247176,0.9079470198675497,0.08880074515180375,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
recommended-fixed,0,Web Attack - XSS,0.003067484662576687,0.9231788079470199,0.09026593128277045,,,True,,,"{'rule': 'thresholds', 'qb': 0.75, 'qm': 0.1, 'qu': 0.92}"
submitted,1,DDoS,0.549307107035168,0.8920529801324504,0.057822524097079046,0.30460127987166075,0.8824503311258278,True,,,{}
submitted,1,DoS Hulk,0.8569478032468208,0.8913907284768212,0.054693305145943005,0.2276911058187475,0.8826158940397352,True,,,{}
submitted,1,DoS slowloris,0.36044568245125347,0.8794701986754967,0.05671316888363282,0.3518166360176394,0.8855960264900663,True,,,{}
submitted,1,FTP-Patator,0.0010116337885685382,0.8682119205298013,0.05812602693849358,0.4416751481833106,0.8884105960264901,True,,,{}
