arm,seed,imbalance,resampler,k_requested,n_train_malicious,rf_n_estimators,n_train_after_resample,k_used,fit_seconds,accuracy,balanced_accuracy,f1_macro,f1_weighted,precision_macro,recall_macro,benign_fpr,benign_fp_count,attack_detection_rate,attacks_missed,phantom_classes,phantom_predictions,tau_b,tau_m,tau_u,rf_max_depth,rf_max_features,rf_max_samples,rf_class_weight
cycle9-downsample,0,downsample,none,,3520,197,3520,,1.3332498999952804,0.9404807286139644,0.8380868943166696,0.6816744800276047,0.9660165373397644,0.6992962939188464,0.718360195128574,0.0575713493317704,5501.0,0.8609271523178808,210.0,1.0,4844.0,-0.0001675218546474,1.0,-0.0001070592420417,16.0,log2,0.5449565190789558,balanced
cycle9-downsample,1,downsample,none,,3520,197,3520,,1.332219800009625,0.9398419550591895,0.846230731283362,0.6755254445204345,0.9656219863515048,0.6861633033536372,0.7253406268143102,0.0583772017038021,5578.0,0.8814569536423841,179.0,1.0,4860.0,-0.0004092301615862,1.0,-0.0003643022414048,16.0,log2,0.5449565190789558,balanced
cycle9-downsample,2,downsample,none,,3520,197,3520,,1.3266107000235934,0.9422115988914188,0.8422308563162749,0.6966580518275712,0.967274868377034,0.7179428654453636,0.721912162556807,0.0558863852811587,5340.0,0.8682119205298013,199.0,1.0,4846.0,-0.0004815438509908,1.0,-0.0003907631335161,16.0,log2,0.5449565190789558,balanced
cycle9-downsample,3,downsample,none,,3520,197,3520,,1.1383396000019277,0.9386159219459927,0.8922342605290847,0.6785597170585468,0.9648984311064396,0.6628327597674737,0.7647722233106441,0.0605017215937038,5781.0,0.9225165562913908,117.0,1.0,4835.0,-0.0005906584932404,0.9949238578680204,-0.0005175254873768,16.0,log2,0.5449565190789558,balanced
cycle9-downsample,4,downsample,none,,3520,197,3520,,1.2982693999947514,0.9391001535117092,0.9104706008277352,0.6920584122707838,0.9653406092846212,0.6763223191258426,0.7804033721380589,0.0603552029806072,5767.0,0.9317880794701988,103.0,1.0,4816.0,-0.0003823354666692,0.9898477157360406,-0.0003074099534917,16.0,log2,0.5449565190789558,balanced
cycle9-none,0,none,none,,164857,197,164857,,7.516249599982984,0.9613369032219248,0.8823535739144543,0.7661979776848293,0.9755451856224192,0.7902172954618386,0.7563030633552466,0.0548398237590396,5240.0,0.9846434738302148,1085.0,1.0,4848.0,-0.0008534578730662,0.9965690308716716,-0.000351310464784,16.0,log2,0.5449565190789558,balanced
cycle9-none,1,none,none,,164857,197,164857,,6.542999899975257,0.9605246532896122,0.8884361470156462,0.7712470743504475,0.974998370889893,0.7927639451302833,0.7615166974419825,0.0577387991753095,5517.0,0.9880261556316698,846.0,1.0,4954.0,-0.0004187107537423,1.0,-0.0001067516862022,16.0,log2,0.5449565190789558,balanced
cycle9-none,2,none,none,,164857,197,164857,,6.3491903000103775,0.9607412532715622,0.9147846433376688,0.7818564018345281,0.975011848135171,0.7919663377357137,0.784101122860859,0.0598423878347688,5718.0,0.9901491776827922,696.0,1.0,4882.0,-0.0005818709507489,0.9949238578680204,-0.0003164573417955,16.0,log2,0.5449565190789558,balanced
cycle9-none,3,none,none,,164857,197,164857,,6.440940200001933,0.963551036370747,0.8853453502073599,0.7765501795617927,0.978027919237336,0.8033610239810892,0.75886744303488,0.0530083410953312,5065.0,0.9883799926401904,821.0,1.0,4949.0,-0.0001876956650736,0.9949759494780642,-0.0001401887157151,16.0,log2,0.5449565190789558,balanced
cycle9-none,4,none,none,,164857,197,164857,,6.174009100010153,0.963526969706086,0.8911103366074341,0.7875705189650688,0.977647689506674,0.8169968718629826,0.7638088599492292,0.0530397379409948,5068.0,0.987318481614629,896.0,1.0,4843.0,-0.0005452021276874,0.9951666407060924,-0.0004021987402639,16.0,log2,0.5449565190789558,balanced
downsample-base,0,downsample,none,,3520,200,3520,,1.2425596000102814,0.9410576853731158,0.8904471238883721,0.698445647642278,0.9665279292326804,0.6846941542154207,0.763240391904319,0.0579795083253969,5540.0,0.9072847682119204,140.0,1.0,4819.0,-0.0001675218546474,1.0,-0.0001070592420417,,,,
downsample-base,1,downsample,none,,3520,200,3520,,1.4093278999789618,0.941078290971657,0.8843991592114175,0.691600585668818,0.9664803749690511,0.6785076908754064,0.758056422181215,0.0578434553275214,5527.0,0.9112582781456954,134.0,1.0,4812.0,-0.0004092301615862,1.0,-0.0003643022414048,,,,
