config,n_seeds,detector,transform,kind,gamma,nu,n_train,tau_b_beta,tau_u_quantile,tau_m_objective,balanced_accuracy_mean,balanced_accuracy_std,f1_weighted_mean,f1_weighted_std,f1_macro_mean,f1_macro_std,benign_fpr_mean,benign_fpr_std,attack_detection_rate_mean,attack_detection_rate_std,detector_infer_s_mean,detector_infer_s_std,detector_fit_s_mean,detector_fit_s_std,delta_bacc_mean,delta_bacc_min_over_seeds,delta_bacc_std,reliable_gain
qu-ocsvm-g0.001-nu0.001|F1|q0.995|f1,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F1,0.995,f1,0.8966437364960161,0.0034506547999042384,0.9913051433150434,0.00033170772798381775,0.696241289321707,0.0053983648407283985,0.008658552326331836,0.0005203772186989727,0.8807947019867549,0.00350430637227098,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,0.008241671986687757,0.008208530871820718,2.8820057075665505e-05,True
qu-ocsvm-g0.001-nu0.001|F1|q0.95|f1_weighted,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F1,0.95,f1_weighted,0.8966437364960161,0.0034506547999042384,0.9913051433150434,0.00033170772798381775,0.696241289321707,0.0053983648407283985,0.008658552326331836,0.0005203772186989727,0.8807947019867549,0.00350430637227098,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,0.008241671986687757,0.008208530871820718,2.8820057075665505e-05,True
qu-ocsvm-g0.001-nu0.001|F1|q0.995|f1_weighted,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F1,0.995,f1_weighted,0.8966437364960161,0.0034506547999042384,0.9913051433150434,0.00033170772798381775,0.696241289321707,0.0053983648407283985,0.008658552326331836,0.0005203772186989727,0.8807947019867549,0.00350430637227098,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,0.008241671986687757,0.008208530871820718,2.8820057075665505e-05,True
qu-ocsvm-g0.001-nu0.001|F1|q0.99|f1,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F1,0.99,f1,0.8966437364960161,0.0034506547999042384,0.9913051433150434,0.00033170772798381775,0.696241289321707,0.0053983648407283985,0.008658552326331836,0.0005203772186989727,0.8807947019867549,0.00350430637227098,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,0.008241671986687757,0.008208530871820718,2.8820057075665505e-05,True
qu-ocsvm-g0.001-nu0.001|F1|q0.95|f1,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F1,0.95,f1,0.8966437364960161,0.0034506547999042384,0.9913051433150434,0.00033170772798381775,0.696241289321707,0.0053983648407283985,0.008658552326331836,0.0005203772186989727,0.8807947019867549,0.00350430637227098,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,0.008241671986687757,0.008208530871820718,2.8820057075665505e-05,True
qu-ocsvm-g0.001-nu0.001|F1|q0.99|f1_weighted,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F1,0.99,f1_weighted,0.8966437364960161,0.0034506547999042384,0.9913051433150434,0.00033170772798381775,0.696241289321707,0.0053983648407283985,0.008658552326331836,0.0005203772186989727,0.8807947019867549,0.00350430637227098,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,0.008241671986687757,0.008208530871820718,2.8820057075665505e-05,True
qu-ocsvm-g0.001-nu0.001|F1|q0.975|f1,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F1,0.975,f1,0.8966437364960161,0.0034506547999042384,0.9913051433150434,0.00033170772798381775,0.696241289321707,0.0053983648407283985,0.008658552326331836,0.0005203772186989727,0.8807947019867549,0.00350430637227098,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,0.008241671986687757,0.008208530871820718,2.8820057075665505e-05,True
qu-ocsvm-g0.001-nu0.001|F1|q0.975|f1_weighted,3,qu-ocsvm-g0.001-nu0.001,quantile_uniform,ocsvm,0.001,0.001,10000,F1,0.975,f1_weighted,0.8966437364960161,0.0034506547999042384,0.9913051433150434,0.00033170772798381775,0.696241289321707,0.0053983648407283985,0.008658552326331836,0.0005203772186989727,0.8807947019867549,0.00350430637227098,4.193445100002767,1.1319299056427083,2.4966373666538857,0.7768526525381625,0.008241671986687757,0.008208530871820718,2.8820057075665505e-05,True
qu-ocsvm-g0.000293-nu0.001|F1|q0.95|f1_weighted,3,qu-ocsvm-g0.000293-nu0.001,quantile_uniform,ocsvm,0.000293,0.001,10000,F1,0.95,f1_weighted,0.8965414060360756,0.003510410827239883,0.9910035703275392,0.0005056911624006779,0.6961975266403863,0.0054300125652984145,0.00927253508597503,0.0007955932881915205,0.8812362030905078,0.0033984115493025224,4.772065133331732,0.8714810457191403,3.387528433338351,0.4846741360327036,0.00813934152674726,0.00807422214314879,9.807281889127466e-05,True
qu-ocsvm-g0.000293-nu0.001|F1|q0.99|f1_weighted,3,qu-ocsvm-g0.000293-nu0.001,quantile_uniform,ocsvm,0.000293,0.001,10000,F1,0.99,f1_weighted,0.8965414060360756,0.003510410827239883,0.9910035703275392,0.0005056911624006779,0.6961975266403863,0.0054300125652984145,0.00927253508597503,0.0007955932881915205,0.8812362030905078,0.0033984115493025224,4.772065133331732,0.8714810457191403,3.387528433338351,0.4846741360327036,0.00813934152674726,0.00807422214314879,9.807281889127466e-05,True
