config,detector,transform,kind,gamma,nu,n_train,tau_b_beta,tau_u_quantile,tau_m_objective,seed,balanced_accuracy,f1_weighted,f1_macro,benign_fpr,attack_detection_rate,tau_b,tau_m,tau_u,detector_fit_s,detector_infer_s
incumbent|F1|q0.95|f1,incumbent,standard,ocsvm,0.000293,1.3e-06,10000,F1,0.95,f1,0,0.8904471238883721,0.9665279292326804,0.698445647642278,0.05797950832539691,0.9072847682119205,-0.00015243663101561217,1.0,-0.00010705924204188681,0.14681229999405332,0.3947109000000637
incumbent|F1|q0.95|f1_weighted,incumbent,standard,ocsvm,0.000293,1.3e-06,10000,F1,0.95,f1_weighted,0,0.8904471238883721,0.9665279292326804,0.698445647642278,0.05797950832539691,0.9072847682119205,-0.00015243663101561217,1.0,-0.00010705924204188681,0.14681229999405332,0.3947109000000637
incumbent|F1|q0.975|f1,incumbent,standard,ocsvm,0.000293,1.3e-06,10000,F1,0.975,f1,0,0.8946141830156096,0.9793420906200476,0.7003051711554046,0.03297715356197214,0.8980132450331125,-0.00015243663101561217,1.0,-2.8458117906733616e-05,0.14681229999405332,0.3947109000000637
incumbent|F1|q0.975|f1_weighted,incumbent,standard,ocsvm,0.000293,1.3e-06,10000,F1,0.975,f1_weighted,0,0.8946141830156096,0.9793420906200476,0.7003051711554046,0.03297715356197214,0.8980132450331125,-0.00015243663101561217,1.0,-2.8458117906733616e-05,0.14681229999405332,0.3947109000000637
incumbent|F1|q0.99|f1,incumbent,standard,ocsvm,0.000293,1.3e-06,10000,F1,0.99,f1,0,0.8971137207842707,0.9868488812503898,0.7013945170176317,0.017979926950005755,0.8894039735099337,-0.00015243663101561217,1.0,0.00015208560949737742,0.14681229999405332,0.3947109000000637
incumbent|F1|q0.99|f1_weighted,incumbent,standard,ocsvm,0.000293,1.3e-06,10000,F1,0.99,f1_weighted,0,0.8971137207842707,0.9868488812503898,0.7013945170176317,0.017979926950005755,0.8894039735099337,-0.00015243663101561217,1.0,0.00015208560949737742,0.14681229999405332,0.3947109000000637
incumbent|F1|q0.995|f1,incumbent,standard,ocsvm,0.000293,1.3e-06,10000,F1,0.995,f1,0,0.897947481463559,0.9893394953337836,0.701755941796842,0.012977362874276564,0.8880794701986755,-0.00015243663101561217,1.0,0.0002475786788359381,0.14681229999405332,0.3947109000000637
incumbent|F1|q0.995|f1_weighted,incumbent,standard,ocsvm,0.000293,1.3e-06,10000,F1,0.995,f1_weighted,0,0.897947481463559,0.9893394953337836,0.701755941796842,0.012977362874276564,0.8880794701986755,-0.00015243663101561217,1.0,0.0002475786788359381,0.14681229999405332,0.3947109000000637
incumbent|F2|q0.95|f1,incumbent,standard,ocsvm,0.000293,1.3e-06,10000,F2,0.95,f1,0,0.8904471238883721,0.9665279292326804,0.698445647642278,0.05797950832539691,0.9072847682119205,-0.00015243663101561217,1.0,-0.00010705924204188681,0.14681229999405332,0.3947109000000637
incumbent|F2|q0.95|f1_weighted,incumbent,standard,ocsvm,0.000293,1.3e-06,10000,F2,0.95,f1_weighted,0,0.8904471238883721,0.9665279292326804,0.698445647642278,0.05797950832539691,0.9072847682119205,-0.00015243663101561217,1.0,-0.00010705924204188681,0.14681229999405332,0.3947109000000637
