protocol,held_out,seed,n,hits,recall,ci_lo,ci_hi,top_misroute,benign_fpr
unseen-class,Botnet,0,1437,44,0.030619345859429367,0.02288737800390043,0.04085416570200106,Benign,0.05053845590313027
unseen-class,Botnet,1,1437,32,0.022268615170494086,0.01581760327465885,0.03126700718360856,Benign,0.050664043285784555
unseen-class,Botnet,2,1437,39,0.027139874739039668,0.01991625128340593,0.03688490356931469,Benign,0.053395568858515347
unseen-class,Botnet,3,1437,49,0.03409881697981907,0.025888212388105507,0.044793720170976846,Benign,0.050151228139946206
unseen-class,Botnet,4,1437,53,0.03688239387613083,0.02830739437204319,0.04792684926958385,Benign,0.050580318364015026
unseen-class,Brute Force,0,9150,7,0.0007650273224043716,0.0003706339276135156,0.0015784340020590037,Benign,0.05949702253246957
unseen-class,Brute Force,1,9150,7,0.0007650273224043716,0.0003706339276135156,0.0015784340020590037,Benign,0.06530543898023046
unseen-class,Brute Force,2,9150,8,0.0008743169398907104,0.0004431024272560426,0.0017244530094371268,Benign,0.06060637774591579
unseen-class,Brute Force,3,9150,8,0.0008743169398907104,0.0004431024272560426,0.0017244530094371268,Benign,0.06027147805883769
unseen-class,Brute Force,4,9150,10,0.001092896174863388,0.0005937640511908994,0.0020107663995435694,Benign,0.062197151259536794
unseen-class,DoS,0,321759,252812,0.7857185036005209,0.7842973177435422,0.78713286719138,Benign,0.05874349823654384
unseen-class,DoS,1,321759,250684,0.7791048579837705,0.777668109443247,0.7805349421760196,Benign,0.05584452282027399
unseen-class,DoS,2,321759,246917,0.767397337759006,0.7659343275077976,0.7688539632091783,Benign,0.05823068309070549
unseen-class,DoS,3,321759,244987,0.761399059544566,0.7599232079701487,0.7628686695423087,Benign,0.056325941120448766
unseen-class,DoS,4,321759,246452,0.7659521567384284,0.7644860153220621,0.7674119478611825,Benign,0.05734110579690427
unseen-class,Heartbleed,0,11,11,1.0,0.7411670330319684,1.0,-,0.05797950832539691
unseen-class,Heartbleed,1,11,11,1.0,0.7411670330319684,1.0,-,0.05784345532752143
unseen-class,Heartbleed,2,11,11,1.0,0.7411670330319684,1.0,-,0.058502789086456446
unseen-class,Heartbleed,3,11,11,1.0,0.7411670330319684,1.0,-,0.05913072599972789
unseen-class,Heartbleed,4,11,11,1.0,0.7411670330319684,1.0,-,0.06153781750060177
unseen-class,Infiltration,0,36,17,0.4722222222222222,0.31986041515179053,0.629940619770124,Benign,0.05797950832539691
unseen-class,Infiltration,1,36,19,0.5277777777777778,0.37005938022987594,0.6801395848482095,Benign,0.05784345532752143
unseen-class,Infiltration,2,36,19,0.5277777777777778,0.37005938022987594,0.6801395848482095,Benign,0.058502789086456446
unseen-class,Infiltration,3,36,16,0.4444444444444444,0.2954126874008022,0.6041893824430271,Benign,0.05913072599972789
unseen-class,Infiltration,4,36,16,0.4444444444444444,0.2954126874008022,0.6041893824430271,Benign,0.06153781750060177
unseen-class,Port Scan,0,1956,226,0.11554192229038855,0.10212252600567887,0.1304684607647459,Benign,0.06163200803759249
unseen-class,Port Scan,1,1956,204,0.10429447852760736,0.09151623049013322,0.11862396068049016,Benign,0.06067963705246413
unseen-class,Port Scan,2,1956,198,0.10122699386503067,0.08863178557305709,0.11538546134307501,Benign,0.06317045347510754
unseen-class,Port Scan,3,1956,183,0.09355828220858896,0.08143751070626151,0.10727237557364236,Benign,0.06296114117068372
unseen-class,Port Scan,4,1956,169,0.08640081799591003,0.07474643486941582,0.09967658148334171,Benign,0.06041799667193436
unseen-class,Web Attack,0,2143,0,0.0,1.0842021724855044e-19,0.0017893537526540598,Benign,0.06305533170767444
unseen-class,Web Attack,1,2143,3,0.0013999066728884741,0.00047620627477331224,0.004107950967140698,Benign,0.05624221619867924
unseen-class,Web Attack,2,2143,2,0.0009332711152589828,0.00025597392211848817,0.003396582156708873,Benign,0.06165293926803487
unseen-class,Web Attack,3,2143,6,0.0027998133457769483,0.0012837918446022192,0.006095168886571744,Benign,0.06336930016431015
unseen-class,Web Attack,4,2143,87,0.04059729351376575,0.03303067123743579,0.04980798370375686,Benign,0.06038659982627079
