protocol,held_out,n,recall_mean,recall_std,ci_lo,ci_hi,top_misroute
unseen-class,Botnet,1437,0.030201809324982603,0.005751135285008873,0.02256336786442278,0.040345329179097,Benign
unseen-class,Brute Force,9150,0.0008743169398907104,0.00013385189851274198,0.00044424735218600317,0.001723308084507166,Benign
unseen-class,DoS,321759,0.7719143831252584,0.010109160983010831,0.7704617955973595,0.7733604779960138,Benign
unseen-class,Heartbleed,11,1.0,0.0,0.7411670330319684,1.0,-
unseen-class,Infiltration,36,0.4833333333333333,0.04212708580028642,0.3301609100826294,0.6397197108705195,Benign
unseen-class,Port Scan,1956,0.10020449897750512,0.011042234696551726,0.08769089752890931,0.11428536796905904,Benign
unseen-class,Web Attack,2143,0.009146056929538031,0.01761077895984203,0.007009328655785962,0.013039407893366448,Benign
unseen-class,MEAN over classes,336492,0.3422391998043583,0.4124331748895757,,,(recall_std = spread ACROSS held-out classes)
unseen-subcategory,DDoS,128014,0.5938928554689331,0.041895048501165204,0.5912079161368311,0.5965721598749384,Benign
unseen-subcategory,DoS GoldenEye,10286,0.5700369434182384,0.07064684503019546,0.5605244803154784,0.579497113386037,Benign
unseen-subcategory,DoS Hulk,172846,0.9189440311028314,0.03496918267562997,0.9176718068392529,0.9201976339290969,Benign
unseen-subcategory,DoS Slowhttptest,5228,0.4499617444529457,0.32442676393744097,0.43904934062348405,0.46094762906337383,Benign
unseen-subcategory,DoS slowloris,5385,0.40219127205199623,0.16367685283330777,0.3897887259860064,0.41473326486311235,Benign
unseen-subcategory,FTP-Patator,5931,0.0007755859045692126,0.0004231967761932603,0.000340215075881891,0.0018572250598290936,Benign
unseen-subcategory,SSH-Patator,3219,0.001056228642435539,0.00027785871109037465,0.00038633055908918667,0.00291555659752821,Benign
unseen-subcategory,Web Attack - Brute Force,1470,0.0,0.0,0.0,0.0026064260831473005,Web Attack
unseen-subcategory,Web Attack - XSS,652,0.0049079754601227,0.010974566760735164,0.0030321338421752638,0.012583620061382274,Web Attack
unseen-subcategory,MEAN over classes,333031,0.3268629596113414,0.34000066540499274,,,(recall_std = spread ACROSS held-out classes)
