protocol,family,held_out,seed,n,hits,recall,ci_lo,ci_hi,top_misroute,benign_fpr
unseen-subcategory,Brute Force,FTP-Patator,0,5931,7,0.0011802394199966278,0.0005718323225928886,0.0024343910019033617,Benign,0.057801592866636664
unseen-subcategory,Brute Force,FTP-Patator,1,5931,6,0.0010116337885685382,0.0004637207187489492,0.0022055096104201073,Benign,0.05812602693849358
unseen-subcategory,Brute Force,FTP-Patator,2,5931,3,0.0005058168942842691,0.0001720379652273542,0.00148621337796012,Benign,0.05585498843549518
unseen-subcategory,Brute Force,FTP-Patator,3,5931,1,0.0001686056314280897,2.9763654091313752e-05,0.0009545016984417723,Benign,0.05657711588575735
unseen-subcategory,Brute Force,FTP-Patator,4,5931,6,0.0010116337885685382,0.0004637207187489492,0.0022055096104201073,Benign,0.056985274879383783
unseen-subcategory,Brute Force,SSH-Patator,0,3219,3,0.0009319664492078285,0.0003170021821553286,0.0027366568161049593,Benign,0.054724701991606575
unseen-subcategory,Brute Force,SSH-Patator,1,3219,5,0.0015532774153463808,0.0006636440668246189,0.0036311557232212147,Benign,0.058722567006101456
unseen-subcategory,Brute Force,SSH-Patator,2,3219,3,0.0009319664492078285,0.0003170021821553286,0.0027366568161049593,Benign,0.05520612029178135
unseen-subcategory,Brute Force,SSH-Patator,3,3219,3,0.0009319664492078285,0.0003170021821553286,0.0027366568161049593,Benign,0.055875919665937565
unseen-subcategory,Brute Force,SSH-Patator,4,3219,3,0.0009319664492078285,0.0003170021821553286,0.0027366568161049593,Benign,0.056305009890006384
unseen-subcategory,DoS,DDoS,0,128014,79207,0.6187370131391879,0.6160728562078042,0.6213940441365415,Benign,0.061694801728919633
unseen-subcategory,DoS,DDoS,1,128014,70319,0.549307107035168,0.5465800353222929,0.5520312196101749,Benign,0.057822524097079046
unseen-subcategory,DoS,DDoS,2,128014,81342,0.6354148764978831,0.6327742296480576,0.6380473965012339,Benign,0.0608261556655608
unseen-subcategory,DoS,DDoS,3,128014,79117,0.6180339650350742,0.6153688906857394,0.6206919556434093,Benign,0.05838766731902335
unseen-subcategory,DoS,DDoS,4,128014,70148,0.5479713156373521,0.5452435688202614,0.5506961834833323,Benign,0.057874852173185
unseen-subcategory,DoS,DoS slowloris,0,5385,3164,0.5875580315691736,0.5743520832420722,0.6006391476571883,Benign,0.05772833356008833
unseen-subcategory,DoS,DoS slowloris,1,5385,1941,0.36044568245125347,0.3477256345480786,0.373364694145889,Benign,0.05671316888363282
unseen-subcategory,DoS,DoS slowloris,2,5385,1422,0.264066852367688,0.2524638353554214,0.2760062412988512,Benign,0.0566294439618633
unseen-subcategory,DoS,DoS slowloris,3,5385,3019,0.5606313834726091,0.547336940527003,0.5738393837330364,Benign,0.05656665027053615
unseen-subcategory,DoS,DoS slowloris,4,5385,1283,0.23825441039925718,0.22706513625745683,0.2498168574805968,Benign,0.05897374177141003
unseen-subcategory,DoS,DoS Slowhttptest,0,5228,4210,0.8052792654934966,0.7943227635509822,0.8157874672585552,Benign,0.05569800420717732
unseen-subcategory,DoS,DoS Slowhttptest,1,5228,1163,0.22245600612088753,0.21138843093143606,0.23393115246164753,Benign,0.056985274879383783
unseen-subcategory,DoS,DoS Slowhttptest,2,5228,1029,0.1968247895944912,0.18627137122516874,0.20782341835307905,Benign,0.05969586922167219
unseen-subcategory,DoS,DoS Slowhttptest,3,5228,4209,0.805087987758225,0.794127636263002,0.8156003199658276,Benign,0.057152724722922835
unseen-subcategory,DoS,DoS Slowhttptest,4,5228,1151,0.22016067329762815,0.20913650114683124,0.2315957872777596,Benign,0.05892141369530408
unseen-subcategory,DoS,DoS Hulk,0,172846,160532,0.9287573909723106,0.9275351770211961,0.9299605472969026,Benign,0.05584452282027399
unseen-subcategory,DoS,DoS Hulk,1,172846,148120,0.8569478032468208,0.8552892656967492,0.858590474999438,Benign,0.054693305145943005
unseen-subcategory,DoS,DoS Hulk,2,172846,162716,0.9413929162375756,0.9402757406777731,0.942490472540604,Benign,0.05824114870592668
unseen-subcategory,DoS,DoS Hulk,3,172846,161118,0.93214769216528,0.9309524488768233,0.9333237271333832,Benign,0.05738296825778903
unseen-subcategory,DoS,DoS Hulk,4,172846,161693,0.93547435289217,0.9343064019237224,0.9366229476751564,Benign,0.05761321179265523
unseen-subcategory,DoS,DoS GoldenEye,0,10286,6477,0.6296908419210577,0.620312127110835,0.6389727229694281,Benign,0.05758181494699166
unseen-subcategory,DoS,DoS GoldenEye,1,10286,5087,0.4945557067859226,0.4848974970482697,0.5042179815090806,Benign,0.05905746669317956
unseen-subcategory,DoS,DoS GoldenEye,2,10286,6353,0.6176356212327435,0.6082019689053724,0.6269814408375949,Benign,0.05950748814769076
unseen-subcategory,DoS,DoS GoldenEye,3,10286,5052,0.49115302352712426,0.4814970234330319,0.5008156292226623,Benign,0.05657711588575735
unseen-subcategory,DoS,DoS GoldenEye,4,10286,6348,0.6171495236243437,0.6077137850798829,0.6264977923914191,Benign,0.055227051522223736
unseen-subcategory,Web Attack,Web Attack - Brute Force,0,1470,0,0.0,0.0,0.0026064260831473005,Web Attack,0.05990518152609601
unseen-subcategory,Web Attack,Web Attack - Brute Force,1,1470,0,0.0,0.0,0.0026064260831473005,Web Attack,0.059769128528220535
unseen-subcategory,Web Attack,Web Attack - Brute Force,2,1470,0,0.0,0.0,0.0026064260831473005,Web Attack,0.05544682944186874
unseen-subcategory,Web Attack,Web Attack - Brute Force,3,1470,0,0.0,0.0,0.0026064260831473005,Web Attack,0.0612866427352932
unseen-subcategory,Web Attack,Web Attack - Brute Force,4,1470,0,0.0,0.0,0.0026064260831473005,Web Attack,0.06163200803759249
unseen-subcategory,Web Attack,Web Attack - XSS,0,652,0,0.0,0.0,0.005857297932341256,Web Attack,0.056838756266287115
unseen-subcategory,Web Attack,Web Attack - XSS,1,652,0,0.0,0.0,0.005857297932341256,Web Attack,0.054013040156565606
unseen-subcategory,Web Attack,Web Attack - XSS,2,652,0,0.0,0.0,0.005857297932341256,Web Attack,0.0565143221944302
unseen-subcategory,Web Attack,Web Attack - XSS,3,652,0,0.0,0.0,0.005857297932341256,Web Attack,0.05520612029178135
unseen-subcategory,Web Attack,Web Attack - XSS,4,652,16,0.024539877300613498,0.015160669210876318,0.03948890857754635,Web Attack,0.056807359420623545
